🔵🌙 Crater Version: 1.0.102
🔵🌙 Running /Users/wyatt/Code/gmtk2024/build_release.crater
🔵💥 Deleting file .build/.DS_Store
🔵💥 Deleting file .build/macos-universal/.DS_Store
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/GMTK24.icns
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Knowledge.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/Clouds01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/Clouds03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PILLAR.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ftue_arrow.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/Clouds02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Platform01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Joy.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Decor01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Commerce00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/MONUMENT04.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PILLAR_BookEndBottom.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Commerce.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLTFRM03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLTFRM02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Food.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/MONUMENT01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/MONUMENT03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/Clouds05.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Knowledge00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLTFRM01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PALM01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/Clouds04.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/MONUMENT02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/ICONS_Social00.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_MONUMENT.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS04.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_BIG01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/chain.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS05.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS07.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_BIG02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/DECOR_BIG03.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS06.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Farm01.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/LVL01_PLANTERS02.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/circle.png
🔵💥 Deleting file .build/macos-universal/GMTK24.app/Contents/Resources/Resource/BUTTONS_Commerce01.png
